articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
9-5-2014,0.77,0.77,mean,NA,MATCH,TRUE
9-5-2014,0.9,0.9,mean,NA,MATCH,TRUE
9-5-2014,0.95,0.95,mean,NA,MATCH,TRUE
9-5-2014,0.93,0.93,mean,NA,MATCH,TRUE
9-5-2014,0.93,0.93,mean,0,MATCH,NA
9-5-2014,0.63,0.63,mean,NA,MATCH,TRUE
9-5-2014,0.85,0.85,mean,NA,MATCH,TRUE
9-5-2014,0.85,0.85,mean,NA,MATCH,TRUE
9-5-2014,0.9,0.9,mean,NA,MATCH,TRUE
9-5-2014,0.85,0.85,mean,0,MATCH,NA
9-5-2014,0.65,0.65,mean,NA,MATCH,TRUE
9-5-2014,0.65,0.65,mean,NA,MATCH,TRUE
9-5-2014,0.8,0.8,mean,NA,MATCH,TRUE
9-5-2014,0.77,0.77,mean,NA,MATCH,TRUE
9-5-2014,0.76,0.76,mean,0,MATCH,NA
9-5-2014,0.72,0.72,mean,0,MATCH,NA
9-5-2014,0.81,0.81,mean,0,MATCH,NA
9-5-2014,0.88,0.88,mean,0,MATCH,NA
9-5-2014,0.89,0.89,mean,0,MATCH,NA
9-5-2014,17.91,17.95,F,0.22333891680624873,MINOR_ERROR,NA
9-5-2014,< 0.01,0.04626495702407618,p,NA,EYEBALL_ERROR,FALSE
9-5-2014,p > 0.23,0.037871770866228616,p,NA,EYEBALL_ERROR,FALSE
9-5-2014,p > 0.23,0.004653344157434014,p,NA,EYEBALL_ERROR,FALSE
9-5-2014,p > 0.23,0.0519973595326485,p,NA,EYEBALL_ERROR,FALSE
9-5-2014,> 0.59,0.6020876685833525,d,NA,MATCH,TRUE
9-5-2014,0.4,0.42,d,4.99999999999999,MINOR_ERROR,NA
